,,,,,,
id,title,description,link,image_link,price,availability
product_1b9ec68e-5dcc-9997-2a03-184e6ae19bea,Skeleton DJ,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_0cad154cf88f4242a1a5687e9163a073~mv2.png,6.99,12
product_5640a870-c1c6-4871-5b50-caba4750660a,Ghost with Spiderweb Umbrella,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_9ba563d16cdf403a9c0980f961eeb45c~mv2.png,7.99,12
product_038f7c66-b101-5b8d-dd74-1d5743607169,Witch on Broomstick with Crescent Moon,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_ae5659c2865546cc8f51b59762013c7a~mv2.png,7.99,12
product_c7bdc8a5-5a0b-580c-5f13-aa49cb1fb90d,Happy Halloween,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_38ae7301e2204b6da4b9d050e42948d9~mv2.png,7.99,12
product_be873d48-3a2c-1cfd-787d-912c9efb4573,Gnarly Smoking Pumpkin,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_738e11f4ec03405dbaca0d88eb0907c4~mv2.png,7.99,12
product_7af67c36-beaf-7974-d5b2-420c0eee0b51,Skeleton Falling Apart,"""<p>Environmentally Friendly Alloy, Soft Enamel&nbsp;Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_eabef2899f904af09bc4d1faf8b23b8f~mv2.png,7.99,12
product_13d75f07-572e-d0a2-4dce-24ccfe322f49,A Little Batty,"""<p>Environmentally Friendly Zinc Alloy Pin&nbsp;</p><ul>",<li>Silvertone backing and fastener.</li>,https://static.wixstatic.com/media/f06efb_fc3068ed3a7046e9985d2c35e59672fd~mv2.png,5.99,10
product_8fd4f8f2-f447-697a-7a20-5102c2866e1f,Black Ghost,"""<p>Environmentally Friendly Zinc Alloy Pin&nbsp;</p><ul>",<li>Silvertone backing and fastener.</li>,https://static.wixstatic.com/media/f06efb_0e4e9045057d43cd8b7844053cb3023b~mv2.png,5.99,9
product_c05976b0-7858-f9f0-4020-09f7f8b8c7e1,Flying Spell Book,"""<p>Environmentally Friendly Zinc Alloy Pin&nbsp;</p><ul>",<li>Goldtone backing and&nbsp;fastener.</li>,https://static.wixstatic.com/media/f06efb_63320dc23d054e39881909a2ac4d3cc0~mv2.png,5.99,10
product_a99c7c13-cb3f-e6b3-f0ef-f4a3eba40a7e,Together - Forever Ever,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_5f878cb1cdf44890a8180f930e393ca6~mv2.png,6.99,10
product_d70f0374-e469-777a-d89c-9d934840c8d1,Spooky All Year,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_3badf9da0f14440480b92c7b07e95a1c~mv2.png,7.99,10
product_2a0f643b-72c0-9318-ef14-e22f74a4b311,Shy Witchy Ghost,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_c05812e383e342d2a78d932a46b48305~mv2.png,7.99,10
product_7384cae2-bf4d-46ce-8e06-07157abeaac0,Pumpkin Skull,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_5042c7f13bbf43cdac37ab5570df0bb9~mv2.png,7.99,10
product_07fc7da2-b77f-4064-35ad-6a810219a3e4,Witchy Skull,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_3ca45ea280dc4c09a819088fffb2a3bd~mv2.png,7.99,10
product_fd3d0fd4-c072-d219-cb80-a70278a2ffc1,I'm Coming,"""<p>Environmentally Friendly Alloy Pin&nbsp;</p><ul>",<li>Black backing and rubber fastener.</li>,https://static.wixstatic.com/media/f06efb_74f4e36d24174f5abe301e4ad52fa5e4~mv2.png,7.99,10
product_ecffd7a7-be8c-c11f-e332-26ebf455b88c,Drink Tea And Read Books,"<p>Drink Tea And Read Books</p><p>That's the combo!</p><p>Enamel Pin</p><p>1.2""W x 1""H</p>",https://static.wixstatic.com/media/f06efb_b1c92d5020f745dda06820ee741fa87c~mv2.png,Drink Tea,TRUE,
product_f188176c-dbac-534e-e280-102fb60e7323,Brains Are The New Tits,"<p>Brains Are The New Tits</p><p>You agree?</p><p>Enamel Pin</p><p>1""W x 1.2""H</p>",https://static.wixstatic.com/media/f06efb_48067247805a4b819f4b40d9cab5db3c~mv2.png,Brains,TRUE,
product_d116e1c0-611d-b2a5-5935-de84932fc25d,You Are Worth It,"<p>You Are Worth It.</p><p>Yup, You Are.&nbsp;</p><p>&nbsp;</p><p>Enamel Pin</p><p>1.5""W x 1.1""H</p>",https://static.wixstatic.com/media/f06efb_b37c10aef3f34f4e98b394c4c236156e~mv2.png,Worth It,TRUE,
product_c04526d5-ff51-3f84-f434-05696fe08562,Home Is Where The Wifi Connects Automatically,"<p>Home is Where The Wifi Connects Automatically&nbsp;</p><p>Enamel Pin</p><p>1.2""W x 1""H</p><p>&nbsp;</p>",https://static.wixstatic.com/media/f06efb_e7580d7222db4a86a86f1569fc36c375~mv2.png,Wifi,TRUE,
product_e25f5fac-334a-0fb7-c3a4-a1854cf12b5a,You Need To Calm Down,"<p>You Need To Calm Down</p><p>( You don't want wrinkles, do you?)</p><p>Enamel Pin&nbsp;</p><p>.74""W x 1""H</p><p>&nbsp;</p>",https://static.wixstatic.com/media/f06efb_c6d3b4e416e7412ca4a8dab1196069a9~mv2.png,Calm Down,TRUE,
product_b164fec1-3f96-f8de-efd8-0e3b043bfb53,Don't Talk To Me,"<p>Don't Talk To Me</p><p>&nbsp;</p><p>Enamel Pin</p><p>.8""W x 1.2""H</p>",https://static.wixstatic.com/media/f06efb_19b3f170894f4989a7d43c50d9baf090~mv2.png,Talk,TRUE,
product_f605bd4b-cb03-f5ea-4c44-06550e790c9d,Green Thumb,"<p>Green Thumb</p><p>Enamel Pin</p><p>1.1""W x 1.2""H</p>",https://static.wixstatic.com/media/f06efb_881aff84266d400f85a2ab17f368f59c~mv2.png,Green Thumb,TRUE,
product_63a6d053-103b-bd71-2357-b9c92e0377f0,Not A Hugger,"<p>Not A Hugger - Cactus</p><p>Enamel Pin</p><p>1""W x 1.2""H</p>",https://static.wixstatic.com/media/f06efb_68c51236db6d4e2489d7082cfb9e00a7~mv2.png,Cactus,TRUE,
product_5b33edf1-18be-5456-d57c-5f7fa3a5df25,Save Yourself,"<p>Save Yourself</p><p>No, really.&nbsp; You got this!</p><p>&nbsp;</p><p>Enamel Pin</p><p>.5""W x 1.2""H</p>",https://static.wixstatic.com/media/f06efb_1505be21d7034140a923e83bfb998a31~mv2.png,Save Yourself,TRUE,
product_4172a8ae-3e2d-3915-854b-5e55765f4d4c,If I Die Water My Plants,"<p>If I Die Water My Plants</p><p>We know it's not just us?</p><p>Enamel Pin</p><p>.8""W x 1.2""H</p>",https://static.wixstatic.com/media/f06efb_48534efd14e34a5d9894fd8b6e1b902f~mv2.png,Monstera,TRUE,
product_c0c477db-5cba-d9e5-2c9f-3e008a71dd1a,Just One More Chapter,"<p>Just One More Chapter</p><p>If You Know, You Know.</p><p>Enamel Pin</p><p>1.5""W x 1.1""H</p>",https://static.wixstatic.com/media/f06efb_896f81330ade41ec9c813d9c0e599c47~mv2.png,One More,TRUE,